month,channel,is_complete_month,cost,leads,first_order_orders,first_order_users_proxy,first_order_revenue,first_order_formal_revenue,first_order_net_revenue,first_order_refund_revenue,repeat_leads,repeat_leads_90d,cac,cac_rate,first_order_conversion_rate,channel_roi,repeat_lead_rate,repeat_lead_rate_90d
2025-07,敬泽摄影师-DY-短直视频,False,9753.93000000,81,4,4,9155.00000000,9520.00000000,9120.00000000,400.00000000,30,1,2438.48250000,1.06950987,0.04938272,0.93859603,0.37037037,0.01234568
2025-07,旺年-SY-其他异业,False,0.00000000,93,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,易学-dy-短直视频,False,56664.84000000,528,27,27,60927.00000000,60927.00000000,60927.00000000,0.00000000,9,0,2098.69777778,0.93004481,0.05113636,1.07521701,0.01704545,0.00000000
2025-07,晓峰老师教音乐-sp-短直视频,False,21539.30000000,652,12,12,23660.00000000,23960.00000000,23660.00000000,300.00000000,2,0,1794.94166667,0.91036771,0.01840491,1.09845724,0.00306748,0.00000000
2025-07,晖正浩原-G-公众号,False,37637.37000000,274,12,12,24802.10000000,24779.00000000,24779.00000000,0.00000000,0,0,3136.44750000,1.51892207,0.04379562,0.65897537,0.00000000,0.00000000
2025-07,晟阳达投-sy-异业,False,0.00000000,75,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,晴天-SP-短直视频,False,2589.00000000,86,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,有娃视频号-SP-短直视频,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,未来时代-G-公众号,False,86294.28000000,757,40,40,73847.40000000,73843.00000000,73843.00000000,0.00000000,107,4,2157.35700000,1.16861828,0.05284016,0.85576240,0.14134742,0.00528402
2025-07,本本图书-TS-其他异业,False,0.00000000,16,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,杭州乐潼-G-公众号,False,9722.50000000,50,2,2,5415.00000000,5360.00000000,5360.00000000,0.00000000,0,0,4861.25000000,1.81389925,0.04000000,0.55695552,0.00000000,0.00000000
2025-07,杭州垂牛-G-公众号,False,190.65000000,9,1,1,2380.00000000,2380.00000000,2380.00000000,0.00000000,0,0,190.65000000,0.08010504,0.11111111,12.48360871,0.00000000,0.00000000
2025-07,杭州真量-APP-垂直应用,False,56206.99000000,475,16,16,32378.00000000,31408.00000000,29528.00000000,1880.00000000,1,0,3512.93687500,1.90351497,0.03368421,0.57604935,0.00210526,0.00000000
2025-07,欣姐食养记-SY-小绿书,False,0.00000000,322,6,6,11280.00000000,11280.00000000,11280.00000000,0.00000000,0,0,0.00000000,0.00000000,0.01863354,,0.00000000,0.00000000
2025-07,武汉新视点-SP-短直视频,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,江西乐达-G-公众号,False,202860.55000000,1576,62,62,125590.80000000,126098.00000000,125098.00000000,1000.00000000,2,0,3271.94435484,1.62161306,0.03934010,0.61909918,0.00126904,0.00000000
2025-07,河北灵创-G-公众号,False,67507.91000000,636,18,18,38083.10000000,37904.00000000,37904.00000000,0.00000000,0,0,3750.43944444,1.78102337,0.02830189,0.56412797,0.00000000,0.00000000
2025-07,河北灵创-G-视频号,False,11662.53000000,152,6,6,11280.00000000,11280.00000000,11280.00000000,0.00000000,5,0,1943.75500000,1.03391223,0.03947368,0.96720008,0.03289474,0.00000000
